Window,Num threads,Num Variables,Num locks,Num unique good writes,Num mmaps,Max stack size,Max seen size,Time taken (sec),Window result,Window Size
0,2,10,0,0,1,2,64,0,true,10
1,1,10,0,0,10,1,10,0.001,true,10
2,1,10,0,5,10,1,10,0.001,true,10
3,1,10,0,10,10,1,10,0.001,true,10
4,1,10,0,9,10,1,10,0.001,true,10
5,1,4,1,4,10,1,10,0.001,true,10
6,1,2,1,2,10,1,10,0.001,true,10
7,1,3,1,4,10,1,10,0.002,true,10
8,1,3,1,4,10,1,10,0.001,true,10
9,1,4,1,4,10,1,10,0.001,true,10
10,1,3,1,3,10,1,10,0.001,true,10
11,1,2,1,2,10,1,10,0.001,true,10
12,1,3,1,4,10,1,10,0.001,true,10
13,1,3,1,4,10,1,10,0.002,true,10
14,1,4,1,4,10,1,10,0.001,true,10
15,1,3,1,3,10,1,10,0.002,true,10
16,1,2,1,2,10,1,10,0.001,true,10
17,1,3,1,4,10,1,10,0.001,true,10
18,1,3,1,4,10,1,10,0.001,true,10
19,1,4,1,4,10,1,10,0.001,true,10
20,1,3,1,3,10,1,10,0.001,true,10
21,2,9,1,8,10,4,33,0.007,true,10
22,1,10,0,10,10,1,10,0.002,true,10
23,2,9,0,9,10,7,43,0.008,true,10
24,1,3,1,4,10,1,10,0.001,true,10
25,1,3,1,4,10,1,10,0.001,true,10
26,1,3,1,2,10,1,10,0.001,true,10
27,1,2,1,3,10,1,10,0.003,true,10
28,1,3,1,3,10,1,10,0.002,true,10
29,1,2,1,3,10,1,10,0.002,true,10
30,1,3,1,4,10,1,10,0.003,true,10
31,1,3,1,4,10,1,10,0.003,true,10
32,1,5,1,4,10,1,10,0.003,true,10
33,1,3,1,4,10,1,10,0.003,true,10
34,1,3,1,2,10,1,10,0.002,true,10
35,1,2,1,3,10,1,10,0.002,true,10
36,1,3,1,3,10,1,10,0.003,true,10
37,1,3,1,4,10,1,10,0.003,true,10
38,2,5,1,5,10,6,38,0.008,true,10
39,1,3,1,3,10,1,10,0.001,true,10
40,1,4,1,3,10,1,10,0.001,true,10
41,1,3,1,2,10,1,10,0.001,true,10
42,1,4,1,3,10,1,10,0.001,true,10
43,1,3,1,2,10,1,10,0.001,true,10
44,1,2,1,3,10,1,10,0.001,true,10
45,1,3,1,4,10,1,10,0.001,true,10
46,1,4,1,5,10,1,10,0.001,true,10
47,1,3,1,4,10,1,10,0.001,true,10
48,1,3,1,4,10,1,10,0.001,true,10
49,1,3,1,2,10,1,10,0.001,true,10
50,1,2,1,3,10,1,10,0.001,true,10
51,1,2,1,3,10,1,10,0.001,true,10
52,1,3,1,4,10,1,10,0.002,true,10
53,2,3,1,4,10,2,19,0.003,true,10
54,1,2,1,2,10,1,10,0.001,true,10
55,1,3,1,4,10,1,10,0.001,true,10
56,1,2,1,3,10,1,10,0.001,true,10
57,1,3,1,4,10,1,10,0.001,true,10
58,1,2,1,3,10,1,10,0.001,true,10
59,1,3,1,3,10,1,10,0.001,true,10
60,1,2,1,3,10,1,10,0.001,true,10
61,1,2,1,3,9,1,10,0.001,true,10
62,1,3,1,4,9,1,10,0.001,true,10
63,1,3,1,4,9,1,10,0.001,true,10
64,1,4,1,5,9,1,10,0.001,true,10
65,2,4,1,4,9,2,19,0.003,true,10
66,1,2,1,3,9,1,10,0.001,true,10
67,1,3,1,3,9,1,10,0.001,true,10
68,1,2,1,3,9,1,10,0.001,true,10
69,1,3,1,3,9,1,10,0.001,true,10
70,1,4,1,4,9,1,10,0.002,true,10
71,1,3,1,2,9,1,10,0.001,true,10
72,1,3,1,3,9,1,10,0.001,true,10
73,1,2,1,3,9,1,10,0.001,true,10
74,1,2,1,3,9,1,10,0.001,true,10
75,1,3,1,4,9,1,10,0.001,true,10
76,2,5,1,5,9,10,51,0.009,true,10
77,1,3,1,2,9,1,10,0.001,true,10
78,1,4,1,4,9,1,10,0.001,true,10
79,1,3,1,2,9,1,10,0.001,true,10
80,1,4,1,4,9,1,10,0.001,true,10
81,1,5,1,4,9,1,10,0.001,true,10
82,1,3,1,4,9,1,10,0.001,true,10
83,1,4,1,3,9,1,10,0.001,true,10
84,1,3,1,2,9,1,10,0.001,true,10
85,1,3,1,3,9,1,10,0.001,true,10
86,1,2,1,3,9,1,10,0.001,true,10
87,2,6,0,6,9,3,19,0.003,true,10
88,1,4,1,4,9,1,10,0.001,true,10
89,1,3,1,2,9,1,10,0.001,true,10
90,1,4,1,4,9,1,10,0.001,true,10
